time,icao24,callsign,baroaltitude,velocity,vertrate,lat,lon
1735161335,440daf,EJU91EZ ,396.24,81.33097695604783,-7.477760000000001,38.72698974609375,-9.16534423828125
1735161336,440daf,EJU91EZ ,388.62,81.12734578416321,-7.152640000000001,38.72769113314354,-9.16497802734375
1735161337,440daf,EJU91EZ ,388.62,81.20397100852011,-6.827520000000001,38.727970446570446,-9.16485595703125
1735161338,440daf,EJU91EZ ,373.38,80.81848109854874,-6.502400000000001,38.72899459580243,-9.16436767578125
1735161339,440daf,EJU91EZ ,365.76,80.6299685893889,-5.8521600000000005,38.72964632713188,-9.1640625
1735161340,440daf,EJU91EZ ,365.76,80.2615078714534,-5.8521600000000005,38.73025150622352,-9.16375732421875
1735161341,440daf,EJU91EZ ,358.14000000000004,80.08159906759825,-5.8521600000000005,38.73088073730469,-9.163493280825378
1735161342,440daf,EJU91EZ ,350.52000000000004,79.42122362962827,-5.8521600000000005,38.73155496888241,-9.16314697265625
1735161343,440daf,EJU91EZ ,342.90000000000003,78.93824265213357,-5.8521600000000005,38.73225325244968,-9.162841796875
1735161344,440daf,EJU91EZ ,342.90000000000003,78.63592486747162,-6.1772800000000005,38.73289489746094,-9.16253794794494
1735161345,440daf,EJU91EZ ,335.28000000000003,77.85970153416474,-6.1772800000000005,38.733673095703125,-9.162119989809753
1735161346,440daf,EJU91EZ ,327.66,77.57024027316209,-6.502400000000001,38.73431396484375,-9.161761739979625
1735161347,440daf,EJU91EZ ,320.04,77.00867557411625,-7.152640000000001,38.734954833984375,-9.16140349014944
1735161348,440daf,EJU91EZ ,312.42,76.73669916197856,-7.80288,38.73555846133475,-9.16107177734375
1735161349,440daf,EJU91EZ ,304.8,76.21067247452062,-8.128,38.73614501953125,-9.160686990489125
1735161350,440daf,EJU91EZ ,297.18,75.70896011587722,-8.45312,38.736768819518005,-9.1602783203125
1735161351,440daf,EJU91EZ ,289.56,75.69322802051227,-8.45312,38.737335205078125,-9.159910782523752
1735161352,440daf,EJU91EZ ,281.94,76.15335227195956,-8.45312,38.737884521484375,-9.159552532693624
1735161353,440daf,EJU91EZ ,274.32,76.15335227195956,-8.45312,38.73849125231727,-9.1591796875
1735161354,440daf,EJU91EZ ,266.7,76.15335227195956,-8.128,38.73912048339844,-9.158776324728251
1735161355,440daf,EJU91EZ ,259.08000000000004,76.85903548018709,-6.1772800000000005,38.73976135253906,-9.158418074898066
1735161356,440daf,EJU91EZ ,259.08000000000004,76.85903548018709,-6.1772800000000005,38.74039989406779,-9.1580810546875
1735161357,440daf,EJU91EZ ,251.46,76.33558533420994,-0.97536,38.7410888671875,-9.157761283542811
1735161358,440daf,EJU91EZ ,259.08000000000004,76.2349771156689,1.6256000000000002,38.741455078125,-9.15758215862769
1735161359,440daf,EJU91EZ ,266.7,75.38491828898754,3.90144,38.74240164029396,-9.15716552734375
